Id,MSSubClass,MSZoning,LotArea,Street,Alley,Utilities,LotConfig,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageCars,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MiscVal,SaleType,SalePrice
347,20,RL,12772,Pave,NA,AllPub,CulDSac,1Fam,1Story,6,8,1960,Hip,CompShg,MetalSd,None,0,TA,Gd,CBlock,TA,TA,958,GasA,TA,Y,SBrkr,958,0,958,0,0,1,0,2,1,TA,5,Typ,0,Attchd,1,Y,0,0,0,0,0,NA,Gar2,15500,WD,151500
1231,90,RL,18890,Pave,NA,AllPub,Inside,Duplex,1.5Fin,5,5,1977,Shed,CompShg,Plywood,None,1,TA,TA,CBlock,Gd,TA,1361,GasA,Ex,Y,SBrkr,1361,1259,2620,0,0,2,2,4,2,TA,12,Typ,1,BuiltIn,2,N,155,24,145,0,0,NA,Gar2,8300,WD,190000
706,190,RM,5600,Pave,NA,AllPub,Inside,2fmCon,2Story,4,5,1930,Hip,CompShg,VinylSd,None,0,Fa,Fa,Slab,NA,NA,0,GasA,Fa,N,SBrkr,372,720,1092,0,0,2,0,3,2,Fa,7,Mod,0,NA,0,N,0,0,0,0,0,NA,Othr,3500,WD,55000
1458,70,RL,9042,Pave,NA,AllPub,Inside,1Fam,2Story,7,9,1941,Gable,CompShg,CemntBd,None,0,Ex,Gd,Stone,TA,Gd,1152,GasA,Ex,Y,SBrkr,1188,1152,2340,0,0,2,0,4,1,Gd,9,Typ,2,Attchd,1,Y,0,60,0,0,0,GdPrv,Shed,2500,WD,266500
511,20,RL,14559,Pave,NA,AllPub,Inside,1Fam,1Story,5,7,1951,Hip,CompShg,Wd Sdng,BrkCmn,70,Gd,TA,CBlock,TA,TA,1008,GasA,Ex,Y,SBrkr,1363,0,1363,1,0,1,0,2,1,TA,6,Min1,2,CarPort,1,Y,324,42,0,0,168,NA,Shed,2000,WD,164900
540,20,RL,11423,Pave,NA,AllPub,Inside,1Fam,1Story,8,5,2001,Gable,CompShg,VinylSd,BrkFace,479,Gd,TA,PConc,Gd,TA,1581,GasA,Ex,Y,SBrkr,1601,0,1601,1,0,2,0,3,1,Gd,6,Typ,1,Attchd,2,Y,180,0,0,0,0,MnPrv,Shed,2000,WD,272000
891,50,RL,8064,Pave,NA,AllPub,Corner,1Fam,1.5Fin,5,7,1949,Gable,CompShg,MetalSd,None,0,TA,Gd,CBlock,TA,TA,672,GasA,Ex,Y,SBrkr,672,252,924,0,0,1,0,3,1,TA,6,Typ,1,Detchd,2,Y,0,0,0,0,0,MnPrv,Shed,2000,WD,122900
1387,60,RL,16692,Pave,NA,AllPub,Inside,1Fam,2Story,7,5,1978,Gable,CompShg,Plywood,BrkFace,184,TA,TA,CBlock,Gd,TA,1392,GasA,TA,Y,SBrkr,1392,1392,2784,1,0,3,1,5,1,Gd,12,Typ,2,Attchd,2,Y,0,112,0,0,440,MnPrv,TenC,2000,WD,250000
1172,20,RL,9120,Pave,NA,AllPub,Inside,1Fam,1Story,6,6,1958,Hip,CompShg,MetalSd,None,0,TA,TA,CBlock,TA,TA,1261,GasA,Ex,Y,SBrkr,1261,0,1261,1,0,1,0,3,1,TA,6,Typ,1,Attchd,2,Y,0,0,0,0,288,NA,Shed,1400,WD,163000
768,50,RL,12508,Pave,NA,AllPub,Inside,1Fam,1.5Fin,6,7,1940,Gable,CompShg,VinylSd,None,0,TA,TA,CBlock,Gd,TA,983,GasA,Ex,Y,SBrkr,983,767,1750,1,0,2,0,4,1,TA,7,Mod,0,Attchd,1,Y,245,0,156,0,0,NA,Shed,1300,WD,160000
393,20,RL,8339,Pave,NA,AllPub,Inside,1Fam,1Story,5,7,1959,Gable,CompShg,MetalSd,None,0,TA,TA,Slab,NA,NA,0,GasA,TA,Y,SBrkr,882,0,882,0,0,1,0,3,1,TA,5,Typ,0,Attchd,1,Y,0,0,0,0,0,MnPrv,Shed,1200,WD,106500
787,50,RM,10800,Pave,NA,AllPub,Inside,1Fam,1.5Fin,5,6,1915,Gable,CompShg,MetalSd,None,0,TA,Gd,PConc,Fa,TA,686,GasA,TA,Y,SBrkr,966,686,1652,1,0,2,0,4,1,TA,7,Typ,0,Detchd,1,Y,0,0,196,0,0,NA,Shed,1200,WD,139000
1329,50,RM,10440,Pave,Grvl,AllPub,Corner,1Fam,1.5Fin,6,7,1920,Gable,CompShg,BrkFace,None,0,Gd,Gd,BrkTil,Gd,TA,1510,GasW,Ex,Y,SBrkr,1584,1208,2792,0,0,2,0,5,1,TA,8,Mod,2,Detchd,2,Y,0,547,0,0,480,MnPrv,Shed,1150,WD,256000
440,50,RL,12354,Pave,Grvl,AllPub,Corner,1Fam,1.5Fin,6,8,1920,Gable,CompShg,Wd Sdng,None,0,TA,TA,BrkTil,TA,Fa,684,GasA,Gd,Y,SBrkr,684,512,1196,0,0,1,0,3,1,Gd,7,Typ,0,Detchd,2,Y,0,46,0,0,0,GdPrv,Shed,800,ConLI,110000
6,50,RL,14115,Pave,NA,AllPub,Inside,1Fam,1.5Fin,5,5,1993,Gable,CompShg,VinylSd,None,0,TA,TA,Wood,Gd,TA,796,GasA,Ex,Y,SBrkr,796,566,1362,1,0,1,1,1,1,TA,5,Typ,0,Attchd,2,Y,40,30,0,320,0,MnPrv,Shed,700,WD,143000
17,20,RL,11241,Pave,NA,AllPub,CulDSac,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,BrkFace,180,TA,TA,CBlock,TA,TA,1004,GasA,Ex,Y,SBrkr,1004,0,1004,1,0,1,0,2,1,TA,5,Typ,1,Attchd,2,Y,0,0,0,0,0,NA,Shed,700,WD,149000
85,80,RL,8530,Pave,NA,AllPub,Inside,1Fam,SLvl,7,5,1995,Gable,CompShg,HdBoard,BrkFace,22,TA,TA,PConc,Gd,TA,384,GasA,Gd,Y,SBrkr,804,670,1474,0,0,2,1,3,1,TA,7,Typ,1,BuiltIn,2,Y,120,72,0,0,0,NA,Shed,700,WD,168500
336,190,RL,164660,Grvl,NA,AllPub,Corner,2fmCon,1.5Fin,5,6,1965,Gable,CompShg,Plywood,None,0,TA,TA,CBlock,TA,TA,1499,GasA,Ex,Y,SBrkr,1619,167,1786,2,0,2,0,3,1,TA,7,Typ,2,Attchd,2,Y,670,0,0,0,0,NA,Shed,700,WD,228950
1084,20,RL,8800,Pave,NA,AllPub,Inside,1Fam,1Story,6,6,1964,Hip,CompShg,HdBoard,BrkFace,425,TA,TA,CBlock,TA,TA,1251,GasA,TA,Y,SBrkr,1251,0,1251,1,0,1,0,3,1,TA,6,Typ,2,Attchd,1,Y,0,116,0,0,0,MnPrv,Shed,700,WD,160000
913,30,RM,6120,Pave,NA,AllPub,Inside,1Fam,1Story,5,7,1925,Gable,CompShg,MetalSd,None,0,TA,TA,BrkTil,TA,TA,768,GasA,TA,N,SBrkr,1015,0,1015,0,0,1,0,3,1,TA,6,Min1,0,Detchd,1,Y,0,0,112,0,120,MnPrv,Shed,620,WD,88000
590,40,RM,9100,Pave,NA,AllPub,Inside,1Fam,1Story,5,6,1930,Gable,CompShg,VinylSd,None,0,TA,TA,BrkTil,TA,TA,742,GasA,TA,Y,FuseA,779,0,935,0,0,1,0,2,1,TA,4,Typ,0,Detchd,1,P,0,0,0,0,0,NA,Shed,600,WD,79500
627,20,RL,12342,Pave,NA,AllPub,Inside,1Fam,1Story,5,5,1960,Hip,CompShg,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,978,GasA,TA,Y,SBrkr,1422,0,1422,0,0,1,0,3,1,TA,6,Min1,1,Attchd,1,Y,0,0,36,0,0,GdWo,Shed,600,WD,139900
635,90,RL,6979,Pave,NA,AllPub,Inside,Duplex,SFoyer,6,5,1980,Gable,CompShg,Plywood,None,0,TA,TA,CBlock,TA,TA,1056,GasA,Gd,Y,SBrkr,1056,0,1056,2,0,0,0,0,2,TA,4,Typ,0,Detchd,2,Y,264,56,0,0,0,GdPrv,Shed,600,WD,144000
1253,20,RL,9858,Pave,NA,AllPub,Inside,1Fam,1Story,5,6,1968,Gable,CompShg,HdBoard,None,0,TA,TA,CBlock,TA,TA,864,GasA,TA,Y,SBrkr,874,0,874,1,0,1,0,3,1,TA,5,Typ,0,Attchd,1,Y,33,0,0,0,0,GdWo,Shed,600,WD,130000
1062,30,C (all),18000,Grvl,NA,AllPub,Inside,1Fam,1Story,3,4,1935,Gable,CompShg,MetalSd,None,0,Fa,TA,CBlock,TA,TA,894,GasA,TA,Y,SBrkr,894,0,894,0,0,1,0,2,1,TA,6,Typ,0,Detchd,3,Y,0,20,0,0,0,NA,Shed,560,ConLD,81000
18,90,RL,10791,Pave,NA,AllPub,Inside,Duplex,1Story,4,5,1967,Gable,CompShg,MetalSd,None,0,TA,TA,Slab,NA,NA,0,GasA,TA,Y,SBrkr,1296,0,1296,0,0,2,0,2,2,TA,6,Typ,0,CarPort,2,Y,0,0,0,0,0,NA,Shed,500,WD,90000
